Customer_ID,Gender,Age,Marital_status,Children,Tenure_months,Monthly_charges,Total_charges,Phone,Internet,Contract,Paperless_billing,Payment_method,Churn
32,Female,40,0,NULL,1,19.45,19.45,Yes,No,Monthly,Yes,Electronic check,Yes
33,Female,79,NULL,0,55,103.65,5676.65,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
34,Male,61,NULL,NULL,7,64.2,475,Yes,DSL,Monthly,No,Electronic check,No
35,Female,35,1,1,1,55.8,55.8,Yes,DSL,Monthly,Yes,Electronic check,Yes
36,Male,75,1,0,35,76.05,2747.2,Yes,DSL,Monthly,Yes,Electronic check,No
37,Male,37,0,NULL,69,75.75,5388.15,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
38,Male,44,1,NULL,66,96.6,6424.25,Yes,Fiber,Biyearly,No,Mailed check,No
39,Male,31,0,NULL,2,50.2,109.25,Yes,DSL,Monthly,Yes,Credit card (automatic),No
40,Male,43,1,1,33,20.35,689.75,Yes,No,Biyearly,No,Mailed check,No
41,Male,33,NULL,0,72,80.8,5728.55,Yes,DSL,Biyearly,Yes,Electronic check,No
42,Female,59,0,NULL,30,64.5,1985.15,Yes,DSL,Yearly,Yes,Electronic check,No
43,Male,26,0,1,2,47.8,92.45,Yes,DSL,Monthly,Yes,Electronic check,Yes
44,Female,55,NULL,1,23,68.75,1689.45,Yes,DSL,Yearly,Yes,Bank transfer (automatic),No
45,Male,59,NULL,1,7,98.05,713,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
46,Male,47,0,NULL,4,70.2,280.35,Yes,Fiber,Monthly,Yes,Electronic check,No
47,Female,61,1,0,6,89.35,567.8,Yes,Fiber,Monthly,Yes,Electronic check,No
48,Female,28,NULL,1,30,100.05,3046.15,Yes,Fiber,Monthly,Yes,Electronic check,Yes
49,Female,21,NULL,NULL,71,19.1,1372.45,Yes,No,Biyearly,No,Credit card (automatic),No
50,Male,57,0,0,44,19.5,835.5,Yes,No,Yearly,No,Credit card (automatic),No
51,Male,50,1,NULL,30,64.5,1888.45,Yes,DSL,Monthly,Yes,Mailed check,No
52,Female,40,0,NULL,71,19.9,1389.35,Yes,No,Biyearly,No,Bank transfer (automatic),No
53,Female,78,NULL,0,20,24.9,505.95,No,DSL,Monthly,No,Credit card (automatic),No
54,Female,61,0,1,21,20.85,435.25,Yes,No,Biyearly,Yes,Credit card (automatic),No
55,Female,32,0,1,63,19.35,1263.85,Yes,No,Biyearly,No,Electronic check,No
56,Male,21,0,1,9,24.95,190.25,No,DSL,Monthly,Yes,Electronic check,No
57,Female,39,NULL,NULL,43,63.95,2737.05,Yes,DSL,Monthly,Yes,Electronic check,No
58,Female,57,0,1,60,74.85,4456.35,Yes,DSL,Yearly,Yes,Credit card (automatic),No
59,Male,75,NULL,NULL,19,25.15,468.35,No,DSL,Monthly,Yes,Bank transfer (automatic),No
60,Male,45,NULL,NULL,65,104.25,6812.95,Yes,Fiber,Monthly,Yes,Electronic check,No
61,Female,37,1,NULL,69,103.95,7446.9,Yes,Fiber,Monthly,Yes,Electronic check,Yes
62,Male,71,0,0,69,110.55,7610.1,Yes,Fiber,Yearly,Yes,Mailed check,No
63,Female,74,1,NULL,61,94.35,5703,Yes,Fiber,Biyearly,Yes,Bank transfer (automatic),No
64,Female,69,NULL,NULL,72,108.5,8003.8,Yes,Fiber,Yearly,Yes,Bank transfer (automatic),No
65,Male,80,1,NULL,15,19.35,278.85,Yes,No,Biyearly,No,Mailed check,No
66,Male,71,0,0,3,20.5,76.95,Yes,No,Monthly,Yes,Electronic check,No
67,Female,61,1,NULL,14,46.35,672.7,No,DSL,Monthly,Yes,Electronic check,No
68,Male,24,1,0,64,109.2,6741.15,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
69,Male,22,0,0,7,35.3,264.8,No,DSL,Yearly,No,Mailed check,No
70,Female,43,1,0,41,35.45,1391.65,No,DSL,Yearly,No,Mailed check,No
71,Female,75,NULL,1,7,75.15,525,Yes,Fiber,Monthly,Yes,Electronic check,No
72,Male,31,NULL,NULL,46,65.65,3047.15,Yes,DSL,Biyearly,No,Mailed check,No
73,Female,54,1,NULL,2,93.85,170.85,Yes,Fiber,Monthly,Yes,Electronic check,Yes
74,Female,51,NULL,1,61,99.15,6010.05,Yes,Fiber,Monthly,Yes,Electronic check,Yes
75,Male,39,NULL,0,3,54.65,189.1,Yes,DSL,Monthly,No,Mailed check,No
76,Female,53,0,1,67,111.25,7511.65,Yes,Fiber,Yearly,Yes,Electronic check,No
77,Female,44,NULL,1,12,20.15,260.7,Yes,No,Yearly,No,Electronic check,No
78,Male,42,NULL,1,4,42.4,146.4,No,DSL,Monthly,No,Mailed check,No
79,Female,78,NULL,1,49,56.3,2780.6,No,DSL,Yearly,Yes,Credit card (automatic),No
80,Male,65,1,NULL,4,44.55,220.75,Yes,DSL,Monthly,No,Mailed check,No
81,Male,28,1,NULL,4,65.6,250.1,Yes,DSL,Monthly,No,Electronic check,No
82,Male,24,1,NULL,51,97.8,4913.3,Yes,Fiber,Monthly,Yes,Electronic check,Yes
83,Male,59,NULL,NULL,10,110.1,1043.3,Yes,Fiber,Monthly,Yes,Electronic check,Yes
84,Male,64,0,NULL,1,76.45,76.45,Yes,Fiber,Monthly,Yes,Electronic check,Yes
85,Female,41,NULL,NULL,22,69.5,1498.2,Yes,DSL,Yearly,Yes,Bank transfer (automatic),Yes
86,Male,51,1,1,12,43.65,526.95,No,DSL,Monthly,Yes,Electronic check,Yes
87,Male,37,NULL,1,65,108.65,6937.95,Yes,Fiber,Biyearly,No,Bank transfer (automatic),Yes
88,Female,27,1,0,72,76.8,5468.45,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
89,Male,76,0,1,3,105.9,334.65,Yes,Fiber,Monthly,Yes,Electronic check,Yes
90,Female,59,0,NULL,51,90.15,4554.85,Yes,Fiber,Yearly,Yes,Electronic check,No
91,Male,63,0,NULL,1,20.05,20.05,Yes,No,Monthly,No,Mailed check,No
92,Male,79,NULL,NULL,59,111.1,6555.2,Yes,Fiber,Biyearly,Yes,Mailed check,No
93,Female,71,NULL,NULL,1,70.55,70.55,Yes,Fiber,Monthly,Yes,Electronic check,Yes
94,Female,48,NULL,NULL,2,79.75,159.4,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
95,Male,80,NULL,1,4,76.05,318.9,Yes,Fiber,Monthly,Yes,Electronic check,Yes
96,Female,68,NULL,1,2,44.45,82.7,Yes,DSL,Monthly,No,Electronic check,No
97,Female,41,1,NULL,68,19.35,1292.65,Yes,No,Biyearly,Yes,Bank transfer (automatic),No
98,Female,26,1,NULL,55,20.3,1079.05,Yes,No,Biyearly,No,Mailed check,No
99,Female,49,0,NULL,25,19.05,461.3,Yes,No,Monthly,No,Mailed check,No
100,Female,79,0,0,6,19.85,119.3,Yes,No,Monthly,No,Mailed check,No
101,Male,48,1,1,1,71,71,Yes,Fiber,Monthly,Yes,Electronic check,Yes
102,Male,30,0,NULL,54,89.4,4869.5,Yes,Fiber,Monthly,No,Credit card (automatic),No
103,Male,57,NULL,1,30,69.1,2093.9,Yes,DSL,Biyearly,Yes,Credit card (automatic),No
104,Female,29,NULL,1,18,50.3,908.75,Yes,DSL,Monthly,Yes,Mailed check,No
105,Male,21,0,1,56,64.65,3665.55,Yes,DSL,Yearly,Yes,Bank transfer (automatic),No
106,Male,63,1,0,38,94.75,3653,Yes,Fiber,Monthly,No,Electronic check,No
107,Female,74,NULL,1,63,19.5,1215.1,Yes,No,Biyearly,No,Credit card (automatic),No
108,Male,30,NULL,0,19,78.7,1495.1,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),No
109,Male,64,NULL,NULL,66,79.4,5154.6,Yes,DSL,Biyearly,No,Credit card (automatic),Yes
110,Female,31,NULL,NULL,44,56.25,2419.55,Yes,DSL,Monthly,No,Bank transfer (automatic),No
111,Male,64,1,NULL,8,19.55,161.15,Yes,No,Monthly,Yes,Bank transfer (automatic),No
112,Female,29,NULL,NULL,40,20.15,777.35,Yes,No,Biyearly,No,Bank transfer (automatic),No
113,Female,56,1,1,37,88.8,3340.55,Yes,Fiber,Monthly,Yes,Electronic check,No
114,Female,74,NULL,0,50,20.15,930.9,Yes,No,Biyearly,No,Bank transfer (automatic),No
115,Female,50,1,NULL,59,101.1,6039.9,Yes,Fiber,Monthly,No,Electronic check,Yes
116,Male,43,NULL,1,7,73.75,545.15,Yes,Fiber,Monthly,No,Mailed check,Yes
117,Female,72,NULL,0,32,91.05,2954.5,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
118,Female,66,0,NULL,12,19.7,260.9,Yes,No,Yearly,No,Mailed check,No
119,Female,59,NULL,NULL,31,81.15,2545.75,Yes,DSL,Yearly,Yes,Mailed check,No
120,Female,32,1,0,31,73.55,2094.65,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
121,Female,38,NULL,NULL,72,108.05,7806.6,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
122,Female,46,NULL,1,20,82.4,1592.35,Yes,Fiber,Monthly,No,Electronic check,Yes
123,Male,38,1,1,1,74.5,74.5,Yes,Fiber,Monthly,Yes,Electronic check,Yes
124,Male,30,NULL,NULL,45,73.85,3371,Yes,DSL,Biyearly,No,Credit card (automatic),No
125,Male,74,1,0,13,79.8,973.45,Yes,Fiber,Monthly,Yes,Electronic check,Yes
126,Female,74,1,NULL,71,89.9,6342.7,Yes,DSL,Biyearly,No,Bank transfer (automatic),No
127,Female,39,1,1,1,70.75,70.75,Yes,Fiber,Monthly,No,Mailed check,Yes
128,Female,44,1,0,8,38.5,330.8,No,DSL,Monthly,Yes,Electronic check,No
129,Male,35,1,1,66,84,5714.25,Yes,DSL,Biyearly,Yes,Mailed check,No
130,Male,27,1,0,1,69.8,69.8,Yes,Fiber,Monthly,Yes,Electronic check,Yes
131,Male,61,NULL,1,40,97.1,3706.95,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
132,Female,45,NULL,NULL,61,115.1,6993.65,Yes,Fiber,Yearly,Yes,Mailed check,No
133,Female,29,NULL,NULL,60,100.5,6029,Yes,Fiber,Yearly,Yes,Credit card (automatic),No
134,Male,29,1,NULL,23,20,445.3,Yes,No,Yearly,Yes,Credit card (automatic),No
135,Male,57,1,NULL,1,19.75,19.75,Yes,No,Monthly,Yes,Credit card (automatic),No
136,Male,40,NULL,NULL,10,94.9,1048.85,Yes,Fiber,Monthly,Yes,Electronic check,Yes
137,Male,51,NULL,NULL,8,29.35,216.45,No,DSL,Monthly,No,Mailed check,No
138,Male,24,NULL,NULL,20,54,1055.9,Yes,DSL,Yearly,No,Mailed check,No
139,Female,59,NULL,0,46,104.4,4904.2,Yes,Fiber,Biyearly,Yes,Bank transfer (automatic),No
140,Male,61,NULL,0,24,79.85,2001,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
141,Female,69,1,1,44,95.1,4060.55,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
142,Male,38,NULL,0,10,60.2,563.5,Yes,DSL,Monthly,No,Mailed check,No
143,Female,65,0,1,3,64.5,177.4,Yes,DSL,Monthly,Yes,Bank transfer (automatic),No
144,Female,64,NULL,NULL,35,59.45,2136.9,Yes,DSL,Monthly,Yes,Credit card (automatic),No
145,Female,31,NULL,NULL,72,26.25,1988.05,Yes,No,Biyearly,Yes,Bank transfer (automatic),No
146,Female,35,1,NULL,46,94.15,4408.45,Yes,Fiber,Yearly,Yes,Electronic check,No
147,Male,57,NULL,0,31,66.4,2019.8,Yes,DSL,Monthly,Yes,Credit card (automatic),No
148,Female,21,0,1,27,104.3,2867.75,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
149,Male,32,NULL,1,15,76,1130.85,Yes,Fiber,Monthly,Yes,Mailed check,Yes
150,Male,36,NULL,NULL,69,81.95,5601.4,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
151,Male,30,NULL,0,50,75.15,3822.45,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
152,Female,32,0,1,25,19.9,527.5,Yes,No,Yearly,No,Credit card (automatic),No
153,Female,52,0,NULL,26,26,684.05,Yes,No,Yearly,No,Mailed check,No
154,Male,30,1,1,34,77.2,2753.8,Yes,DSL,Yearly,No,Bank transfer (automatic),No
155,Female,56,1,NULL,12,79.55,958.25,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
156,Female,35,0,1,57,55,3094.05,No,DSL,Monthly,Yes,Electronic check,No
157,Female,33,NULL,NULL,62,104.3,6613.65,Yes,Fiber,Yearly,Yes,Electronic check,No
158,Male,51,1,NULL,43,101,4388.4,Yes,Fiber,Monthly,Yes,Electronic check,Yes
159,Male,26,0,1,44,20.5,865.05,Yes,No,Yearly,Yes,Bank transfer (automatic),No
160,Female,80,NULL,1,52,23.05,1255.1,Yes,No,Biyearly,No,Mailed check,No
161,Female,24,NULL,NULL,50,79.6,4024.2,Yes,DSL,Biyearly,Yes,Mailed check,No
162,Male,73,1,NULL,54,46,2424.05,No,DSL,Biyearly,No,Credit card (automatic),No
163,Female,36,0,0,1,43.95,43.95,Yes,DSL,Monthly,No,Mailed check,Yes
164,Male,53,1,NULL,72,45.25,3139.8,No,DSL,Biyearly,No,Credit card (automatic),No
165,Male,74,NULL,1,72,64.95,4546,No,DSL,Biyearly,Yes,Credit card (automatic),No
166,Male,28,1,NULL,63,110.1,6705.7,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
167,Female,26,1,1,1,75.3,75.3,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
168,Male,56,0,0,1,74,74,Yes,Fiber,Monthly,No,Electronic check,No
169,Female,21,0,0,13,80.5,1011.8,Yes,Fiber,Monthly,Yes,Electronic check,No
170,Female,50,NULL,1,7,61.4,438.9,Yes,DSL,Monthly,No,Electronic check,No
171,Female,22,NULL,NULL,66,104.55,6779.05,Yes,Fiber,Yearly,Yes,Bank transfer (automatic),No
172,Male,75,1,1,3,40.15,130.75,No,DSL,Monthly,Yes,Mailed check,Yes
173,Male,72,1,1,17,81.5,1329.2,Yes,Fiber,Monthly,No,Bank transfer (automatic),Yes
174,Female,61,NULL,NULL,5,85.3,420.45,Yes,Fiber,Monthly,Yes,Mailed check,No
175,Male,73,1,0,7,75.4,533.05,Yes,Fiber,Monthly,Yes,Electronic check,No
176,Female,35,1,NULL,6,89.3,577.6,Yes,Fiber,Monthly,No,Electronic check,Yes
177,Female,49,NULL,1,13,20.45,254.5,Yes,No,Monthly,Yes,Mailed check,No
178,Female,46,1,NULL,48,95.5,4627.85,Yes,Fiber,Biyearly,Yes,Mailed check,Yes
179,Female,71,1,0,1,78.65,78.65,Yes,Fiber,Monthly,No,Electronic check,Yes
180,Female,30,1,NULL,31,98.9,2911.3,Yes,Fiber,Monthly,Yes,Electronic check,Yes
181,Female,61,0,1,1,69.55,69.55,Yes,Fiber,Monthly,No,Mailed check,Yes
182,Male,38,NULL,0,61,62.15,3778.85,No,DSL,Biyearly,Yes,Mailed check,No
183,Female,40,1,0,1,90.55,90.55,Yes,Fiber,Monthly,No,Electronic check,Yes
184,Male,77,NULL,NULL,53,24.05,1301.9,Yes,No,Yearly,No,Bank transfer (automatic),No
185,Female,43,1,1,6,19.5,146.3,Yes,No,Monthly,No,Bank transfer (automatic),Yes
186,Male,28,1,NULL,72,109.7,7898.45,Yes,Fiber,Biyearly,No,Credit card (automatic),No
187,Male,56,0,0,22,75,1573.95,Yes,Fiber,Monthly,No,Bank transfer (automatic),No
188,Female,73,1,NULL,3,94.9,273.2,Yes,Fiber,Monthly,No,Electronic check,No
189,Female,70,0,NULL,1,69.2,69.2,Yes,Fiber,Monthly,Yes,Electronic check,Yes
190,Female,41,NULL,1,71,19.85,1379.6,Yes,No,Biyearly,No,Credit card (automatic),No
191,Male,36,NULL,NULL,27,20.35,531.6,Yes,No,Biyearly,No,Credit card (automatic),No
192,Female,55,NULL,NULL,69,19.75,1375.4,Yes,No,Biyearly,No,Bank transfer (automatic),No
193,Female,61,1,NULL,41,19.3,772.4,Yes,No,Biyearly,No,Bank transfer (automatic),No
194,Female,48,NULL,1,72,84.05,6052.25,Yes,Fiber,Biyearly,Yes,Bank transfer (automatic),No
195,Male,27,0,NULL,31,93.8,3019.5,Yes,Fiber,Monthly,No,Electronic check,Yes
196,Male,38,NULL,NULL,45,84.35,3858.05,Yes,DSL,Biyearly,Yes,Mailed check,No
197,Female,61,NULL,NULL,21,94.25,1973.75,Yes,Fiber,Monthly,Yes,Electronic check,Yes
198,Female,64,NULL,1,31,80.55,2471.6,Yes,DSL,Biyearly,No,Bank transfer (automatic),No
199,Female,53,NULL,1,6,20.2,123.65,Yes,No,Monthly,No,Mailed check,No
200,Male,21,1,0,59,41.05,2452.7,No,DSL,Monthly,Yes,Bank transfer (automatic),Yes
201,Male,67,1,NULL,1,29.7,29.7,No,DSL,Monthly,No,Mailed check,Yes
202,Female,36,1,1,65,94.4,6126.15,Yes,Fiber,Monthly,No,Electronic check,No
203,Male,30,NULL,1,71,19.9,1355.1,Yes,No,Biyearly,Yes,Credit card (automatic),No
204,Male,42,0,1,11,78,851.8,Yes,Fiber,Monthly,Yes,Mailed check,No
205,Male,41,NULL,1,1,59.85,59.85,Yes,DSL,Monthly,Yes,Electronic check,Yes
206,Female,67,NULL,0,14,78.85,1043.8,Yes,Fiber,Monthly,No,Electronic check,No
207,Female,55,0,0,72,84.9,6065.3,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
208,Female,28,0,0,15,20.1,302.45,Yes,No,Yearly,No,Credit card (automatic),No
209,Female,55,NULL,0,59,20.6,1286,Yes,No,Biyearly,No,Mailed check,No
210,Male,38,NULL,NULL,33,54.65,1665.2,Yes,DSL,Monthly,Yes,Bank transfer (automatic),No
211,Female,52,NULL,0,22,25.25,555.4,Yes,No,Biyearly,No,Credit card (automatic),No
212,Female,78,1,0,6,20,109.2,Yes,No,Monthly,No,Mailed check,No
213,Male,68,1,0,40,102.65,4108.15,Yes,Fiber,Monthly,Yes,Mailed check,No
214,Male,78,NULL,NULL,18,95.45,1752.55,Yes,Fiber,Monthly,Yes,Electronic check,Yes
215,Male,28,NULL,NULL,12,80.85,866.45,Yes,Fiber,Monthly,No,Bank transfer (automatic),Yes
216,Female,68,1,0,26,54.75,1406.9,Yes,DSL,Monthly,Yes,Credit card (automatic),No
217,Male,60,NULL,NULL,6,44.6,260.8,Yes,DSL,Monthly,Yes,Bank transfer (automatic),Yes
218,Male,56,1,NULL,1,20.1,20.1,Yes,No,Monthly,Yes,Mailed check,Yes
219,Male,28,1,NULL,2,91.45,171.45,Yes,Fiber,Monthly,Yes,Electronic check,No
220,Male,80,NULL,1,37,40.2,1448.8,No,DSL,Monthly,No,Bank transfer (automatic),Yes
221,Male,45,1,NULL,63,70.8,4448.8,Yes,DSL,Yearly,No,Credit card (automatic),No
222,Female,78,NULL,NULL,13,80,1029.35,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
223,Male,48,1,1,16,90.8,1442.2,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),No
224,Female,28,NULL,NULL,42,92.15,3875.4,Yes,Fiber,Monthly,Yes,Electronic check,No
225,Female,31,0,1,11,35.8,363.15,No,DSL,Monthly,Yes,Mailed check,No
226,Female,25,NULL,0,6,44.4,263.05,No,DSL,Monthly,Yes,Electronic check,No
227,Male,80,1,1,31,54.35,1647,Yes,DSL,Monthly,No,Mailed check,No
228,Male,35,0,0,57,39.3,2111.45,No,DSL,Monthly,Yes,Electronic check,Yes
229,Female,23,1,1,72,25.25,1841.2,Yes,No,Biyearly,Yes,Bank transfer (automatic),No
230,Female,23,NULL,NULL,1,70.15,70.15,Yes,Fiber,Monthly,Yes,Mailed check,Yes
231,Female,26,1,1,14,39.7,692.35,No,DSL,Biyearly,No,Mailed check,No
232,Male,75,NULL,NULL,4,50.4,206.6,Yes,DSL,Monthly,No,Mailed check,Yes
233,Female,40,NULL,0,4,98.1,396.3,Yes,Fiber,Monthly,Yes,Bank transfer (automatic),Yes
234,Female,75,1,NULL,33,59.4,1952.8,Yes,DSL,Yearly,No,Electronic check,No
235,Male,41,NULL,0,41,94.55,3851.45,Yes,Fiber,Monthly,Yes,Electronic check,No
236,Male,61,1,1,3,25.1,79.8,No,DSL,Monthly,No,Electronic check,No
237,Male,69,NULL,NULL,25,55.1,1466.1,Yes,DSL,Yearly,Yes,Mailed check,No
238,Male,76,0,0,38,101.15,3741.85,Yes,Fiber,Monthly,No,Electronic check,No
239,Male,42,NULL,NULL,49,66.15,3199,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
240,Male,45,1,NULL,59,64.05,3886.85,No,DSL,Biyearly,Yes,Credit card (automatic),No
241,Male,77,1,NULL,18,19,348.8,Yes,No,Monthly,No,Electronic check,No
242,Male,79,NULL,NULL,66,114.3,7383.7,Yes,Fiber,Yearly,Yes,Bank transfer (automatic),No
243,Female,62,NULL,1,65,111.05,7107,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
244,Male,62,1,1,18,82,1425.45,Yes,DSL,Yearly,Yes,Credit card (automatic),Yes
245,Female,63,0,0,61,106.6,6428.4,Yes,Fiber,Biyearly,Yes,Electronic check,Yes
246,Male,54,1,NULL,13,20.4,251.65,Yes,No,Monthly,Yes,Electronic check,No
247,Male,63,NULL,NULL,3,82.3,214.4,Yes,Fiber,Monthly,Yes,Mailed check,No
248,Female,36,1,0,72,90.15,6716.45,Yes,DSL,Biyearly,Yes,Bank transfer (automatic),No
249,Female,27,NULL,0,0,52.55, ,No,DSL,Biyearly,Yes,Bank transfer (automatic),No
250,Male,42,NULL,NULL,36,79.2,2854.95,Yes,DSL,Monthly,Yes,Credit card (automatic),No
251,Male,60,1,1,67,69.2,4671.65,Yes,DSL,Biyearly,Yes,Credit card (automatic),No
252,Female,44,1,NULL,1,24.7,24.7,No,DSL,Monthly,No,Mailed check,No
253,Female,77,NULL,NULL,2,50.95,123.05,Yes,DSL,Monthly,No,Mailed check,No
254,Male,30,NULL,1,62,102,6529.25,Yes,Fiber,Yearly,No,Electronic check,Yes
255,Female,42,1,NULL,5,85.2,474.8,Yes,Fiber,Monthly,Yes,Electronic check,Yes
256,Male,69,NULL,NULL,68,114.7,7849.85,Yes,Fiber,Biyearly,Yes,Bank transfer (automatic),No
257,Male,41,1,NULL,29,100.55,2830.45,Yes,Fiber,Yearly,No,Credit card (automatic),No
258,Female,25,NULL,NULL,60,99.65,5941.05,Yes,Fiber,Biyearly,Yes,Electronic check,No
259,Female,67,1,1,44,19.9,868.1,Yes,No,Biyearly,No,Mailed check,No
260,Male,57,0,0,53,19.75,1052.35,Yes,No,Biyearly,No,Bank transfer (automatic),Yes
261,Female,78,0,1,1,25.15,25.15,No,DSL,Monthly,Yes,Mailed check,No
262,Female,67,1,NULL,10,64.9,685.55,Yes,DSL,Yearly,No,Mailed check,No
263,Male,37,1,0,63,84.65,5377.8,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
264,Male,45,NULL,NULL,4,65.55,237.2,Yes,DSL,Monthly,No,Mailed check,No
265,Female,27,NULL,1,64,81.3,5129.3,Yes,DSL,Biyearly,Yes,Mailed check,No
266,Male,45,1,NULL,55,96.75,5238.9,Yes,Fiber,Monthly,Yes,Electronic check,Yes
267,Male,72,NULL,1,26,80.5,2088.8,Yes,Fiber,Monthly,Yes,Electronic check,Yes
268,Male,40,1,0,15,19.8,309.4,Yes,No,Monthly,Yes,Mailed check,No
269,Male,70,NULL,NULL,45,20.4,930.45,Yes,No,Yearly,Yes,Electronic check,Yes
270,Female,78,0,NULL,8,55.75,446.8,Yes,DSL,Monthly,No,Electronic check,No
271,Female,67,1,0,70,113,7987.6,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
272,Male,71,NULL,1,40,110.1,4469.1,Yes,Fiber,Monthly,Yes,Credit card (automatic),No
273,Female,48,1,NULL,62,92.05,5755.8,Yes,Fiber,Yearly,Yes,Electronic check,No
274,Female,47,1,NULL,71,95.75,6849.4,Yes,Fiber,Biyearly,Yes,Credit card (automatic),No
275,Female,69,NULL,0,47,95.05,4504.55,Yes,Fiber,Monthly,Yes,Electronic check,Yes
276,Male,67,NULL,0,16,20.15,341.35,Yes,No,Monthly,No,Electronic check,No
277,Female,23,NULL,NULL,1,19.9,19.9,Yes,No,Monthly,No,Mailed check,Yes
278,Female,72,1,1,2,50.15,115.1,Yes,DSL,Monthly,No,Credit card (automatic),Yes
